frame,track_id,x1,y1,x2,y2
10,2,581.1961193082774,160.73462079700673,590.2298237016495,172.52200434763438
11,2,579.7079695459122,160.25282022593302,588.829516959127,172.1548233231502
12,2,578.2198197833301,159.7710196548593,587.4292102168215,171.78764229866601
13,2,576.7316700205309,159.28921908378558,586.0289034747328,171.42046127418183
14,2,575.2435202575149,158.80741851271185,584.6285967328612,171.05328024969762
15,2,573.7553704942819,158.32561794163811,583.2282899912065,170.6860992252134
16,2,572.267220730832,157.8438173705644,581.8279832497687,170.31891820072926
17,2,570.7790709671651,157.36201679949068,580.4276765085478,169.95173717624505
18,2,569.2909212032813,156.88021622841694,579.027369767544,169.58455615176084
19,2,567.8027714391806,156.39841565734324,577.627063026757,169.21737512727665
20,2,566.3146216748628,155.9166150862695,576.226756286187,168.85019410279247
21,2,564.8264719103282,155.4348145151958,574.8264495458341,168.4830130783083
22,2,563.3383221455765,154.95301394412206,573.4261428056979,168.11583205382408
23,2,561.850172380608,154.47121337304833,572.0258360657788,167.74865102933987
24,2,560.3620226154226,153.98941280197462,570.6255293260766,167.38147000485571
25,2,558.8738728500201,153.5076122309009,569.2252225865914,167.0142889803715
26,2,557.3857230844008,153.02581165982716,567.824915847323,166.6471079558873
27,2,555.8975733185644,152.54401108875345,566.4246091082716,166.2799269314031
28,2,554.4094235525112,152.06221051767972,565.0243023694372,165.91274590691893
29,2,552.9212737862409,151.580409946606,563.6239956308198,165.54556488243475
30,2,551.4331240197537,151.09860937553228,562.2236888924191,165.17838385795054
31,2,583.302134916656,158.588908809174,591.8391248778074,169.784435640114
32,2,584.2649287643453,161.66293598560185,591.5915862358298,170.90270754269892
33,2,584.4617909938753,161.8931449880357,591.6056343044881,170.90236279735134
34,2,584.6586532988916,162.12335399046952,591.6196822976601,170.90201805200377
35,2,584.8555156793943,162.35356299290336,591.6337302153456,170.90167330665622
36,2,585.0523781353834,162.5837719953372,591.6477780575448,170.90132856130865
37,2,585.2492406668589,162.813980997771,591.6618258242577,170.90098381596104
38,2,585.4461032738207,163.04419000020485,591.6758735154841,170.9006390706135
38,4,596.6462875068653,176.2458519105728,603.6474718841445,183.716858550128
39,2,585.6429659562689,163.2743990026387,591.6899211312243,170.90029432526592
39,4,598.5150674958768,178.217235953463,606.6595131172907,186.88678784569518
40,2,585.8398287142035,163.50460800507253,591.703968671478,170.89994957991834
40,4,600.0034312519737,179.84644684426527,608.1420686719393,188.50981591709186
41,2,586.0366915476244,163.73481700750636,591.7180161362454,170.8996048345708
41,4,601.4917950081638,181.47565773506753,609.6246242264947,190.1328439884885
42,2,586.2335544565317,163.9650260099402,591.7320635255264,170.89926008922322
42,4,602.9801587644471,183.1048686258698,611.1071797809568,191.75587205988518
43,2,586.4304174409253,164.195235012374,591.746110839321,170.89891534387561
43,4,607.4682521457008,183.80076540599498,616.6239312735886,193.49186624780077
44,2,586.6272805008055,164.42544401480785,591.7601580776294,170.89857059852807
44,4,610.3974489393897,185.41565063052172,619.6862082875247,195.15745420717278
45,2,586.8241436361718,164.6556530172417,591.7742052404512,170.8982258531805
45,4,612.5323337937629,186.90796910980293,621.9670446566689,196.80284202255854
46,2,587.0210068470246,164.88586201967553,591.7882523277868,170.89788110783292
46,4,614.6672186373984,188.40028758908414,624.2478810365509,198.44822983794427
47,2,587.2178701333637,165.11607102210937,591.8022993396359,170.89753636248537
47,4,616.8021034702962,189.89260606836535,626.5287174271706,200.09361765333003
48,2,587.4147334951892,165.3462800245432,591.8163462759986,170.8971916171378
48,4,618.9369882924562,191.38492454764653,628.809553828528,201.73900546871573
49,2,587.6115969325011,165.57648902697701,591.830393136875,170.8968468717902
49,4,621.0718731038786,192.87724302692774,631.0903902406232,203.3843932841015
50,2,587.8084604452994,165.80669802941085,591.8444399222651,170.89650212644264
50,4,623.2067579045633,194.36956150620895,633.371226663456,205.02978109948725
51,2,588.0053240335841,166.0369070318447,591.8584866321689,170.89615738109507
51,4,625.3416426945103,195.86187998549013,635.6520630970264,206.67516891487296
52,2,588.202187697355,166.26711603427853,591.8725332665862,170.8958126357475
52,4,627.4765274737196,197.35419846477134,637.9328995413347,208.32055673025872
53,2,588.3990514366125,166.49732503671237,591.8865798255172,170.89546789039994
53,4,629.6114122421911,198.84651694405255,640.2137359963806,209.96594454564448
54,2,588.5959152513561,166.72753403914618,591.9006263089617,170.89512314505234
54,4,631.746296999925,200.33883542333373,642.4945724621641,211.61133236103018
55,2,588.7927791415863,166.95774304158002,591.9146727169199,170.89477839970476
55,4,633.8811817469212,201.83115390261494,644.7754089386855,213.25672017641594
56,2,588.9896431073028,167.18795204401385,591.9287190493918,170.89443365435721
56,4,636.0160664831797,203.32347238189615,647.0562454259444,214.9021079918017
57,2,589.1865071485056,167.4181610464477,591.9427653063773,170.89408890900964
57,4,638.1509512087005,204.81579086117733,649.3370819239411,216.5474958071874
58,2,589.3833712651948,167.64837004888153,591.9568114878763,170.89374416366206
58,4,640.2858359234835,206.30810934045854,651.6179184326755,218.19288362257316
59,2,589.5802354573703,167.87857905131537,591.970857593889,170.89339941831452
59,4,642.4207206275289,207.80042781973975,653.8987549521477,219.8382714379589
60,2,589.7770997250323,168.1087880537492,591.9849036244153,170.89305467296694
60,4,653.6372834908274,208.77364288671927,663.5095819173783,219.6238623080696
61,2,589.9739640681806,168.33899705618302,591.9989495794554,170.89270992761934
61,4,656.2418583699354,211.19905927334793,665.647061542457,221.54591277432374
62,2,590.1708284868154,168.56920605861686,592.0129954590091,170.8923651822718
62,4,658.8706322957712,212.7522386263924,668.2973591658595,223.12277634637084
63,4,661.4994062331612,214.30541797943687,670.9476567777078,224.69963991841794
64,4,664.1281801821051,215.85859733248134,673.5979543780021,226.27650349046505
65,4,666.7569541426031,217.4117766855258,676.2482519667424,227.85336706251215
66,4,669.3857281146553,218.96495603857028,678.8985495439287,229.43023063455925
67,4,672.0145020982615,220.51813539161475,681.5488471095608,231.00709420660635
68,4,674.6432760934217,222.07131474465922,684.199144663639,232.58395777865346
69,4,677.272050100136,223.6244940977037,686.8494422061631,234.16082135070056
70,4,679.9008241184042,225.17767345074816,689.4997397371329,235.73768492274766
71,4,682.5295981482267,226.73085280379263,692.1500372565489,237.31454849479476
72,4,685.1583721896031,228.2840321568371,694.8003347644109,238.89141206684187
73,4,687.7871462425336,229.83721150988157,697.4506322607186,240.46827563888897
74,4,690.4159203070182,231.39039086292604,700.1009297454724,242.04513921093607
75,4,693.0446943830568,232.9435702159705,702.7512272186722,243.62200278298317
76,4,695.6734684706495,234.49674956901498,705.4015246803178,245.19886635503028
77,4,698.3022425697961,236.04992892205945,708.0518221304093,246.77572992707738
78,4,700.931016680497,237.60310827510392,710.702119568947,248.35259349912448
79,4,703.5597908027518,239.1562876281484,713.3524169959303,249.92945707117158
80,4,706.1885649365607,240.70946698119286,716.0027144113599,251.5063206432187
81,4,708.8173390819237,242.26264633423733,718.6530118152352,253.0831842152658
82,4,711.4461132388407,243.8158256872818,721.3033092075565,254.6600477873129
83,4,714.0748874073117,245.36900504032627,723.9536065883237,256.23691135935996
84,4,716.7036615873369,246.92218439337074,726.603903957537,257.81377493140707
85,4,719.3324357789161,248.4753637464152,729.2542013151962,259.39063850345417
86,4,721.9612099820492,250.02854309945968,731.9044986613011,260.9675020755013
87,4,724.5899841967366,251.58172245250412,734.5547959958523,262.5443656475484
88,4,727.2187584229779,253.13490180554857,737.2050933188491,264.1212292195954
89,4,729.8475326607734,254.688081158593,739.855390630292,265.6980927916425
90,4,732.4763069101228,256.24126051163745,742.5056879301809,267.27495636368957
91,4,735.1050811710263,257.79443986468186,745.1559852185156,268.8518199357366
